Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
10,3,15.6,15,106,9,16,35,5,2.1,65510.9568
10,3,14.0,15,74,9,16,53,5,1.9,49976.64
4,5,15.6,5,102,9,16,101,5,1.78,144495.36
10,4,14.0,10,97,1,12,53,5,1.13,139860.0
10,3,15.6,0,37,6,10,43,5,2.2,16303.68
2,1,17.3,8,102,1,18,75,5,2.9,81465.12
10,3,25.6,15,83,9,18,35,5,2.1,60978.96
0,3,15.6,8,102,9,16,75,2,2.5,46833.12
11,1,17.3,8,102,1,18,80,5,2.8,119826.72
2,4,14.0,8,97,9,29,53,5,1.1,99793.44
16,4,13.3,8,89,1,29,47,5,1.2,93080.16
4,4,14.0,8,99,9,29,40,5,1.36,89510.4
10,3,35.6,8,56,6,26,47,5,2.2,21791.52
10,3,11.6,0,37,4,23,43,5,1.15,16221.096
10,5,15.6,8,102,9,29,101,5,2.67,102564.0
10,4,14.0,18,102,9,29,74,5,1.7,103523.04
7,3,15.6,8,56,6,10,6,5,2.1,24988.32
0,0,13.3,13,89,9,16,47,5,1.6,42038.4528
2,0,13.3,13,74,9,16,53,5,1.27,49443.84
4,3,15.6,8,74,6,16,24,2,2.3,31909.392
4,3,13.3,0,56,6,4,47,5,1.65,36709.92
7,4,14.0,8,89,9,16,47,5,1.43,79920.0
4,3,15.6,0,74,9,10,53,5,2.14,28768.536
10,4,14.0,15,106,9,16,35,5,1.75,64755.4464
10,0,15.6,11,102,1,29,75,5,2.0,101178.72
3,3,12.3,24,41,8,35,43,5,1.4,23922.72
7,3,15.6,8,104,9,16,55,5,2.31,76030.56
2,3,35.6,8,59,9,10,72,2,2.3,31808.16
4,1,27.3,10,103,1,18,80,5,4.42,149130.72
4,1,15.6,15,102,9,5,76,5,2.62,61751.52
4,3,15.6,8,106,9,20,7,5,2.02,60867.072
4,4,14.0,8,99,9,16,53,2,1.6,58554.72
7,1,17.3,8,102,0,18,80,5,3.35,106506.72
12,0,11.6,13,37,6,25,43,5,1.16,15930.72
15,2,11.6,0,36,6,7,41,1,1.15,14332.32
10,3,13.3,15,97,9,16,53,5,1.4,53812.8
10,3,14.0,15,60,6,4,53,5,1.7,31914.72
10,5,15.6,12,99,1,29,72,5,2.3,130269.6
10,3,15.6,8,104,1,29,104,5,2.5,130482.72
2,1,17.3,8,25,9,18,37,5,3.2,90309.6
7,3,15.6,0,36,6,26,41,5,2.1,18488.16
6,4,12.3,38,105,1,29,52,1,1.1,117162.72
10,4,24.0,4,97,3,29,53,5,1.32,126912.96
2,3,15.6,8,74,6,16,53,2,2.0,29783.52
10,3,17.3,2,8,9,10,15,5,2.8,27652.32
4,3,15.6,8,83,6,16,7,5,2.2,39906.72
10,4,12.5,15,74,9,16,53,5,1.36,76137.12
10,3,15.6,8,113,6,4,44,5,2.2,18594.72
7,1,15.6,15,102,9,5,75,5,2.2,58554.72
4,3,14.0,8,79,9,16,69,5,1.64,62817.12
0,3,15.6,0,74,6,26,53,2,2.4,23539.104
4,5,15.6,8,114,9,36,108,5,2.23,106187.04
11,1,15.6,8,77,9,16,75,5,2.2,54757.9872
13,4,13.5,37,100,1,29,58,6,1.25,137941.92
7,3,15.6,0,74,9,4,53,5,1.91,31381.92
4,5,15.6,15,94,1,16,108,5,2.17,105228.0
7,5,15.6,15,104,9,29,53,5,2.31,81731.52
10,3,14.0,8,74,9,16,53,5,1.65,71661.6
4,3,15.6,8,106,9,5,7,5,2.36,52161.12
4,0,11.6,36,112,6,26,42,5,1.47,25521.12
4,3,17.3,15,101,9,10,79,5,4.42,109010.88
13,4,13.5,37,52,6,4,52,6,1.252,52693.92
13,4,33.5,37,100,9,16,58,6,1.25,95850.72
7,3,17.3,2,56,9,16,47,5,2.5,34093.872
0,3,15.6,8,56,6,10,72,5,2.23,28984.32
0,2,11.6,0,36,6,4,41,5,1.4,23176.8
2,3,15.6,8,74,9,10,53,5,2.37,39906.72
10,3,14.0,15,97,9,29,31,4,1.5,42570.72
10,3,15.6,8,104,9,16,104,5,2.67,111355.2
2,3,15.6,0,113,6,26,43,5,2.0,16197.12
0,3,15.6,0,56,6,26,85,5,2.2,24988.32
4,3,15.6,8,83,9,22,7,5,2.02,40439.52
7,1,17.3,15,102,0,10,79,5,3.78,90522.72
10,4,14.0,20,91,0,16,47,5,1.4,98994.24
7,0,13.3,11,106,9,29,61,5,1.29,106506.72
7,3,15.6,8,74,9,26,1,5,1.9,61485.12
6,4,12.3,38,82,9,4,52,1,1.1,67932.0
4,4,13.3,7,83,9,16,61,5,1.42,98133.768
2,3,15.6,12,92,0,5,48,5,2.06,69210.72
4,3,14.0,0,58,9,4,47,5,1.79,39427.2
10,3,14.0,8,74,9,9,53,5,1.7,72673.92
16,3,13.3,15,74,9,16,53,5,1.05,89084.16
4,3,15.6,15,106,9,29,72,5,2.16,67239.36
4,3,15.6,0,59,6,10,53,5,2.18,31254.048
7,3,13.3,15,83,6,4,61,5,1.49,38681.28
3,3,15.6,8,30,6,35,40,5,1.89,13261.392
10,3,15.6,0,54,6,4,47,5,2.3,30103.2
10,3,14.0,15,83,9,16,61,5,1.75,55890.72
4,5,15.6,15,94,1,29,108,5,2.17,124568.64
4,3,15.6,8,102,1,29,75,5,2.06,101178.72
